"id","nb_follower","nb_following","verified","reputation","age","nb_tweets","posted_at","text","length","orthographe","nb_urls","nb_hashtag","nb_emoji","named_id","type","spam"
1095597318752137216,3027,2738,0,0.53,605,51879,"08:15:30","RT@ frenchweb: [INSIDERS] Robots livreurs : #SoftBank mise près d’un milliard de dollars sur Nuro… https://t.co/bnP6k4uq5b",122,0.45,1,1,1,0,actualité,False
1095597327140732929,79,211,0,0.27,660,977,"08:15:32","Si les francais excédés persistent à faire un vote de ras-le-bol au premier tour d'une élection pour ensuite rentre… https://t.co/jxh8b06PZT",140,0.82,1,0,1,0,reaction,False
1095597331343437825,3163,2831,0,0.53,163,15701,"08:15:33","« Allô, les #pompiers ? Mon hamster a fait un malaise… » : ces appels qui empoisonnent le quotidien des pompiers https://t.co/bzMHcnFnlg",136,0.72,1,1,1,1,actualité,False
1095597348099629056,675,545,0,0.55,2772,15864,"08:15:37","je me suis dit la meme chose",28,0.86,0,0,1,0,conversation,True
1095597364889432064,217,140,0,0.61,309,13736,"08:15:41","Partout je vois leur photo oue doguracak oue hazirlaniyo eh ntm",63,0.55,0,0,1,0,conversation,True
1095597373290627073,528,274,0,0.66,3959,6111,"08:15:43","@GDeleur Je vais jeter la mienne à la mer aujourd'hui.",54,0.91,0,0,1,1,conversation,True
1095597377489113099,376,393,0,0.49,2281,4862,"08:15:44","@jacksonmukunda batu oyo il faut to lutter contre bango makasiiii",65,0.40,0,0,1,1,conversation,True
1095597390046711808,7489,0,0,1.00,224,21136,"08:15:47","Si la #Vierge était une criminelle, elle serait... le chef d'un gang de malfaiteurs.",84,0.84,0,1,1,0,other spam,True
1095597390046916608,19,0,0,1.00,44,96,"08:15:47","🚨Ⓓ - BAGAGE OUBLI��

Ligne D : ralenti

☞ De Goussainville vers Corbeil Essonnes et Melun via Combs��: ralenti jusq… https://t.co/BKWZvMqryR",140,0.33,1,0,1,1,other spam,True
1095597406853447684,195,213,0,0.48,814,10705,"08:15:51","@luccassTV C'est grâce à que tu soit au pays🇯🇵 GG cette luck",60,0.60,0,0,1,1,conversation,True
1095597419427958785,0,0,0,0.00,372,4,"08:15:54","Rosier muscat du chili. Maintenant  l'applicateur fonctionne.",61,0.82,0,0,1,0,other spam,True
1095597423622320128,948,691,0,0.58,1376,2480,"08:15:55","Qu’hier et demain reposent en paix.

#6mots",43,0.64,0,1,1,1,conversation,True
1095597436175822851,92,198,0,0.32,503,2472,"08:15:58","Chut le crie  pas trop fort on pourrait nous entendre",53,1.00,0,0,1,0,conversation,True
1095597448771366912,916,467,0,0.66,1679,4002,"08:16:01","[#RH] Le directeur juridique, business partner incontournable dans l'#entreprise https://t.co/2VuVQ0PqFF. Un bon ou… https://t.co/wX3b0dYZjj",140,0.55,2,2,1,0,publicité,True
1095597520091209728,401,687,0,0.37,75,1359,"08:16:18","@Fleurlunique Hahahaha avec tout mon respect biensur 😂 je suis deja casé 🙇🏿‍♂️",78,0.44,0,0,2,3,conversation,True
